season,hour,threshold
fall,0.0,32423.0
fall,1.0,29816.0
fall,2.0,28339.499999999996
fall,3.0,27394.0
fall,4.0,27158.0
fall,5.0,27506.0
fall,6.0,29193.0
fall,7.0,32798.0
fall,8.0,34866.0
fall,9.0,35707.0
fall,10.0,36785.0
fall,11.0,38058.0
fall,12.0,39330.0
fall,13.0,40431.0
fall,14.0,41281.0
fall,15.0,42099.0
fall,16.0,42915.0
fall,17.0,43208.0
fall,18.0,42778.0
fall,19.0,41516.0
fall,20.0,41348.0
fall,21.0,40872.0
fall,22.0,38407.0
fall,23.0,35275.0
spring,0.0,31309.799999999992
spring,1.0,29372.25
spring,2.0,28273.4
spring,3.0,27919.10000000001
spring,4.0,27942.499999999996
spring,5.0,28692.099999999995
spring,6.0,30882.85
spring,7.0,34585.75
spring,8.0,36354.049999999996
spring,9.0,36452.35
spring,10.0,36344.25
spring,11.0,36778.6
spring,12.0,37103.7
spring,13.0,37488.45
spring,14.0,37987.799999999996
spring,15.0,38540.19999999998
spring,16.0,38782.7
spring,17.0,39096.99999999999
spring,18.0,38881.9
spring,19.0,39487.149999999994
spring,20.0,38864.69999999999
spring,21.0,38540.2
spring,22.0,37204.899999999994
spring,23.0,34239.649999999994
summer,0.0,41177.25
summer,1.0,37713.75
summer,2.0,35425.5
summer,3.0,33964.5
summer,4.0,33067.5
summer,5.0,32889.0
summer,6.0,33985.75
summer,7.0,36087.5
summer,8.0,39313.75
summer,9.0,42437.75
summer,10.0,45315.25
summer,11.0,48295.25
summer,12.0,50671.75
summer,13.0,52442.25
summer,14.0,53855.5
summer,15.0,54710.5
summer,16.0,55107.5
summer,17.0,55348.25
summer,18.0,54894.25
summer,19.0,53571.0
summer,20.0,51777.25
summer,21.0,50594.25
summer,22.0,48981.75
summer,23.0,45174.6
winter,0.0,36056.5
winter,1.0,34476.2
winter,2.0,33736.799999999996
winter,3.0,33299.2
winter,4.0,33406.6
winter,5.0,34172.4
winter,6.0,36218.799999999996
winter,7.0,40127.0
winter,8.0,41826.0
winter,9.0,41687.2
winter,10.0,41382.2
winter,11.0,40990.0
winter,12.0,40511.2
winter,13.0,39948.2
winter,14.0,39577.2
winter,15.0,39132.2
winter,16.0,39148.2
winter,17.0,40303.6
winter,18.0,43295.2
winter,19.0,43803.0
winter,20.0,43324.2
winter,21.0,42523.0
winter,22.0,40790.0
winter,23.0,38433.0
__global__,,44717.149999999994
